Question,Response,Sentiment
tôi rất buồn,Thật tốt khi bạn chia sẻ cảm xúc của mình với tôi.,positive
tôi rất vui,I'm thrilled to hear that!,positive
tôi rất vui,I'm thrilled to hear that!,positive
tôi rất buồn,"Tôi ở đây vì bạn, xin đừng buồn.",negative
tôi rất buồn,"Tôi ở đây vì bạn, xin đừng buồn.",positive
xin chào,"Dạ, có gì em giúp được anh/chị ạ?",neutral
xin chào,"Dạ, có gì em giúp được anh/chị ạ?",positive
hôm nay tôi bị té xe,Mong bạn sớm khỏe lại sau tai nạn.,neutral
hôm nay tôi bị té xe,Mong bạn sớm khỏe lại sau tai nạn.,negative
nay tôi được điểm thấp,Tôi hiểu rằng bạn cảm thấy thất vọng vì điểm số thấp.,negative
nay tôi được điểm thấp,Tôi hiểu rằng bạn cảm thấy thất vọng vì điểm số thấp.,negative
